년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
2021-01,제주시,연동,한식 음식점업,49211,2124801928,53249437.865,2021-07-28
2021-01,제주시,연동,"피자, 햄버거, 샌드위치 및 유사 음식점업",3200,55535810,53249437.865,2021-07-28
2021-01,제주시,연동,화장품 및 방향제 소매업,977,96111400,53249437.865,2021-07-28
2021-01,제주시,오라동,건강보조식품 소매업,6,575600,19523177.874,2021-07-28
2021-01,제주시,오라동,빵 및 과자류 소매업,1008,25427250,19523177.874,2021-07-28
2021-01,제주시,오라동,과실 및 채소 소매업,117,10436210,19523177.874,2021-07-28
2021-01,제주시,오라동,관광 민예품 및 선물용품 소매업,53,9067500,19523177.874,2021-07-28
2021-01,제주시,오라동,그외 기타 스포츠시설 운영업,2,24000,19523177.874,2021-07-28
2021-01,제주시,오라동,그외 기타 종합 소매업,2918,143981820,19523177.874,2021-07-28
2021-01,제주시,오라동,기타 외국식 음식점업,183,3279000,19523177.874,2021-07-28
2021-01,제주시,오라동,기타음식료품위주종합소매업,34,1796110,19523177.874,2021-07-28
2021-01,제주시,오라동,비알콜 음료점업,2980,35043810,19523177.874,2021-07-28
2021-01,제주시,연동,호텔업,1626,371110381,53249437.865,2021-07-28
2021-01,제주시,오라동,골프장 운영업,1128,201060193,19523177.874,2021-07-28
2021-01,제주시,오라동,슈퍼마켓,9518,428046048,19523177.874,2021-07-28
2021-01,제주시,오라동,수산물 소매업,6,7205000,19523177.874,2021-07-28
2021-01,제주시,오라동,스포츠 및 레크레이션 용품 임대업,468,54118900,19523177.874,2021-07-28
2021-01,제주시,오라동,여관업,208,11457000,19523177.874,2021-07-28
2021-01,제주시,오라동,여행사업,117,6293300,19523177.874,2021-07-28
2021-01,제주시,오라동,육류 소매업,497,55916370,19523177.874,2021-07-28
2021-01,제주시,외도동,건강보조식품 소매업,33,3533700,14480571.603,2021-07-28
2021-01,제주시,오라동,자동차 임대업,113,11230790,19523177.874,2021-07-28
2021-01,제주시,오라동,중식 음식점업,236,6788000,19523177.874,2021-07-28
2021-01,제주시,오라동,차량용 가스 충전업,408,28038430,19523177.874,2021-07-28
2021-01,제주시,오라동,차량용 주유소 운영업,9609,521817665,19523177.874,2021-07-28
2021-01,제주시,오라동,체인화 편의점,11878,116990220,19523177.874,2021-07-28
